startpos1,대기시간(초단위)
강남구,1266.7836629001883
강동구,1101.2852564102564
강북구,1336.6562647754138
강서구,1248.198975465085
관악구,1274.7515683814304
광진구,894.4930671103716
구로구,1214.0150223304913
금천구,1191.1597222222222
노원구,1031.992637725311
도봉구,1098.5920119447555
동대문구,1098.358695652174
동작구,1317.2103896103897
마포구,983.8056105610561
서대문구,1168.9032438478748
서초구,1343.8249832999331
성동구,1209.2178492239468
성북구,1218.5161936560935
송파구,1235.593112244898
양천구,1365.652913499819
영등포구,1160.0430672268908
용산구,1192.6762523191094
은평구,1198.487656033287
종로구,1086.4984779299848
중구,1293.6904761904761
중랑구,949.003003003003
