구,저상버스비율2
강남구,0.6689165186500888
강동구,0.6213355048859935
강북구,0.4697855750487329
강서구,0.6134997688395747
관악구,0.6635170603674541
광진구,0.6207233626588465
구로구,0.5494643982356647
금천구,0.5568965517241379
노원구,0.48068893528183715
도봉구,0.49699570815450644
동대문구,0.8137595552466991
동작구,0.47011494252873565
마포구,0.5716240875912408
서대문구,0.6233894945490585
서초구,0.4771660264618011
성동구,0.533920704845815
성북구,0.4441649899396378
송파구,0.775233644859813
양천구,0.7120451693851945
영등포구,0.5824069598840019
용산구,0.6804780876494024
은평구,0.6304050978607192
종로구,0.6204583566238122
중구,0.6733668341708543
중랑구,0.6936193619361937
