,구,체육시설점수
0,노원구,0.9052398240148167
1,중구,0.35103363754518735
2,영등포구,0.9653013645352596
3,구로구,0.5394908559994925
4,도봉구,0.7483180738231758
5,동대문구,0.6102376329001962
6,금천구,0.50458842622165
7,종로구,0.3752129827107017
8,용산구,0.4341827112782574
9,동작구,0.9434396695706083
10,마포구,0.9355581434168614
11,강서구,1.1647143958868764
12,서대문구,0.8725797540976074
13,성동구,0.5148126055733674
14,광진구,1.4932505656091237
15,송파구,1.3745096468098157
16,관악구,0.8861856626664901
17,강남구,0.48985501861495495
18,서초구,0.2807255393632618
19,양천구,0.8291372838591213
20,은평구,1.5785952766044158
21,성북구,0.434241639689419
22,강북구,0.45076470596932466
23,강동구,1.7303817698300328
24,중랑구,0.8909126637500401
